Team,W_L,Date
CHI,W,2014-11-28
CHI,W,2014-11-30
CHI,L,2014-12-02
CHI,W,2014-12-03
CHI,L,2014-12-06
CHI,W,2014-12-10
CHI,W,2014-12-12
CHI,W,2014-12-14
CHI,L,2014-12-15
CHI,W,2014-12-18
CHI,W,2014-12-19
CHI,W,2014-12-22
CHI,W,2014-12-23
CHI,W,2014-12-25
CHI,W,2014-12-27
CHI,W,2014-12-29
CHI,L,2014-12-30
CHI,W,2015-01-01
CHI,W,2015-01-03
CHI,W,2015-01-05
CHI,L,2015-01-07
CHI,L,2015-01-09
CHI,W,2015-01-10
CHI,L,2015-01-12
CHI,L,2015-01-14
CHI,W,2015-01-16
CHI,L,2015-01-17
CHI,L,2015-01-19
CHI,W,2015-01-22
CHI,W,2015-01-23
CHI,L,2015-01-25
CHI,W,2015-01-27
CHI,L,2015-01-29
CHI,L,2015-01-30
CHI,L,2015-02-04
CHI,W,2015-02-07
CHI,W,2015-02-08
CHI,W,2015-02-10
CHI,W,2015-02-12
CHI,L,2015-02-20
CHI,W,2015-02-21
CHI,W,2015-02-23
CHI,L,2015-02-25
CHI,W,2015-02-27
CHI,L,2015-03-01
CHI,W,2015-03-03
CHI,W,2015-03-05
CHI,L,2015-03-06
CHI,L,2015-03-08
CHI,L,2015-03-09
CHI,W,2015-03-11
CHI,L,2015-03-13
CHI,L,2015-03-15
CHI,W,2015-03-18
CHI,W,2015-03-20
CHI,L,2015-03-21
CHI,W,2015-03-23
CHI,W,2015-03-25
CHI,W,2015-03-28
CHI,L,2015-04-01
CHI,W,2015-04-03
CHI,L,2015-04-05
CHI,L,2015-04-08
CHI,W,2015-04-09
CHI,W,2015-04-11
CHI,W,2015-04-13
CHI,W,2015-04-15
CLE,L,2014-10-30
CLE,W,2014-10-31
CLE,L,2014-11-04
CLE,L,2014-11-05
CLE,W,2014-11-07
CLE,W,2014-11-10
CLE,W,2014-11-14
CLE,W,2014-11-15
CLE,L,2014-11-17
CLE,L,2014-11-19
CLE,L,2014-11-21
CLE,L,2014-11-22
CLE,W,2014-11-24
CLE,W,2014-11-26
CLE,W,2014-11-29
CLE,W,2014-12-02
CLE,W,2014-12-04
CLE,W,2014-12-05
CLE,W,2014-12-08
CLE,W,2014-12-09
CLE,L,2014-12-11
CLE,L,2014-12-12
CLE,W,2014-12-15
CLE,L,2014-12-17
CLE,W,2014-12-19
CLE,W,2014-12-21
CLE,W,2014-12-23
CLE,L,2014-12-25
CLE,W,2014-12-26
CLE,L,2014-12-28
CLE,L,2014-12-30
CLE,L,2014-12-31
CLE,W,2015-01-02
CLE,L,2015-01-04
CLE,L,2015-01-05
CLE,L,2015-01-07
CLE,L,2015-01-09
CLE,L,2015-01-11
CLE,L,2015-01-13
CLE,W,2015-01-15
CLE,W,2015-01-16
CLE,W,2015-01-19
CLE,W,2015-01-21
CLE,W,2015-01-23
CLE,W,2015-01-25
CLE,W,2015-01-27
CLE,W,2015-01-28
CLE,W,2015-01-30
CLE,W,2015-01-31
CLE,W,2015-02-02
CLE,W,2015-02-05
CLE,L,2015-02-06
CLE,W,2015-02-08
CLE,W,2015-02-11
CLE,L,2015-02-12
CLE,W,2015-02-20
CLE,W,2015-02-22
CLE,W,2015-02-24
CLE,W,2015-02-26
CLE,L,2015-02-27
CLE,L,2015-03-01
CLE,W,2015-03-03
CLE,W,2015-03-04
CLE,L,2015-03-06
CLE,W,2015-03-07
CLE,W,2015-03-10
CLE,W,2015-03-12
CLE,W,2015-03-15
CLE,L,2015-03-16
CLE,W,2015-03-18
CLE,W,2015-03-20
CLE,W,2015-03-22
CLE,W,2015-03-25
CLE,L,2015-03-27
CLE,W,2015-03-29
CLE,W,2015-04-02
CLE,W,2015-04-05
CLE,W,2015-04-08
CLE,L,2015-04-10
CLE,L,2015-04-12
CLE,W,2015-04-13
CLE,W,2015-04-15
DAL,L,2014-10-28
DAL,W,2014-10-30
DAL,W,2014-11-01
DAL,W,2014-11-03
DAL,L,2014-11-06
DAL,W,2014-11-07
DAL,L,2014-11-09
DAL,W,2014-11-11
DAL,W,2014-11-13
DAL,W,2014-11-15
DAL,W,2014-11-17
DAL,W,2014-11-19
DAL,W,2014-11-21
DAL,L,2014-11-22
DAL,L,2014-11-24
DAL,W,2014-11-26
DAL,W,2014-11-28
DAL,W,2014-11-29
DAL,W,2014-12-02
DAL,W,2014-12-03
DAL,L,2014-12-05
DAL,W,2014-12-07
DAL,L,2014-12-09
DAL,W,2014-12-10
DAL,L,2014-12-13
DAL,W,2014-12-16
DAL,W,2014-12-17
DAL,W,2014-12-20
DAL,L,2014-12-22
DAL,L,2014-12-23
DAL,W,2014-12-26
DAL,W,2014-12-28
DAL,W,2014-12-30
DAL,W,2015-01-02
DAL,W,2015-01-04
DAL,W,2015-01-05
DAL,L,2015-01-07
DAL,L,2015-01-10
DAL,W,2015-01-13
DAL,L,2015-01-14
DAL,W,2015-01-16
DAL,W,2015-01-19
DAL,W,2015-01-21
DAL,L,2015-01-23
DAL,L,2015-01-25
DAL,L,2015-01-27
DAL,L,2015-01-28
DAL,W,2015-01-30
DAL,W,2015-01-31
DAL,W,2015-02-02
DAL,L,2015-02-04
DAL,W,2015-02-05
DAL,W,2015-02-07
DAL,L,2015-02-09
DAL,W,2015-02-11
DAL,L,2015-02-19
DAL,W,2015-02-20
DAL,W,2015-02-22
DAL,W,2015-02-24
DAL,L,2015-02-25
DAL,L,2015-02-28
DAL,W,2015-03-02
DAL,L,2015-03-05
DAL,L,2015-03-06
DAL,W,2015-03-08
DAL,L,2015-03-10
DAL,W,2015-03-13
DAL,W,2015-03-16
DAL,W,2015-03-18
DAL,L,2015-03-20
DAL,L,2015-03-22
DAL,W,2015-03-24
DAL,L,2015-03-27
DAL,L,2015-03-29
DAL,W,2015-04-01
DAL,L,2015-04-02
DAL,L,2015-04-04
DAL,W,2015-04-08
DAL,W,2015-04-10
DAL,W,2015-04-12
DAL,L,2015-04-13
DAL,W,2015-04-15
DEN,W,2014-10-29
DEN,L,2014-11-01
DEN,L,2014-11-03
DEN,L,2014-11-05
DEN,L,2014-11-07
DEN,L,2014-11-09
DEN,L,2014-11-12
DEN,W,2014-11-14
DEN,L,2014-11-16
DEN,W,2014-11-17
DEN,W,2014-11-19
DEN,W,2014-11-21
DEN,W,2014-11-23
DEN,W,2014-11-25
DEN,L,2014-11-26
DEN,W,2014-11-28
DEN,W,2014-12-01
DEN,L,2014-12-02
DEN,L,2014-12-05
DEN,L,2014-12-07
DEN,L,2014-12-08
DEN,W,2014-12-10
DEN,L,2014-12-13
DEN,L,2014-12-14
DEN,L,2014-12-17
DEN,W,2014-12-19
DEN,W,2014-12-20
