player,draft_year,pro_height_inches,pro_weight_lb,date_of_birth
cheikh-samb,2006,85,245,1984-10-22
guillermo-diaz,2006,74,192,1985-03-04
yotam-halperin,2006,77,210,1984-01-24
hassan-adams,2006,76,220,1984-06-20
ejike-ugboaja,2006,81,225,1985-05-28
edin-bavcic,2006,82,242,1984-06-05
loukas-mavrokefalidis,2006,,,
j.r.-pinnock,2006,,,
damir-markota,2006,82,225,1985-12-26
will-blalock,2006,72,205,1983-09-08
greg-oden,2007,84,250,1988-01-22
kevin-durant,2007,82,240,1988-09-29
al-horford,2007,81,240,1986-06-03
mike-conley,2007,73,175,1987-10-11
jeff-green,2007,80,235,1986-08-28
yi-jianlian,2007,84,240,1987-10-27
corey-brewer,2007,81,186,1986-03-05
brandan-wright,2007,82,210,1987-10-05
joakim-noah,2007,83,230,1985-02-25
spencer-hawes,2007,85,245,1988-04-28
acie-law,2007,75,195,1985-01-25
thaddeus-young,2007,80,235,1988-06-21
julian-wright,2007,80,225,1987-05-20
al-thornton,2007,80,220,1983-12-07
rodney-stuckey,2007,77,210,1986-04-21
nick-young,2007,79,210,1985-06-01
sean-williams,2007,82,235,1986-09-13
marco-belinelli,2007,77,220,1986-03-25
javaris-crittenton,2007,77,200,1987-12-31
jason-smith,2007,84,240,1986-03-02
daequan-cook,2007,77,205,1987-04-28
jared-dudley,2007,78,237,1985-07-10
wilson-chandler,2007,80,235,1987-05-10
rudy-fernandez,2007,78,185,1985-04-04
morris-almond,2007,78,225,1985-02-02
aaron-brooks,2007,72,161,1985-01-14
arron-afflalo,2007,77,210,1985-10-15
tiago-splitter,2007,83,245,1985-01-01
alando-tucker,2007,78,205,1984-02-11
petteri-koponen,2007,76,195,1988-04-13
carl-landry,2007,81,248,1983-09-19
gabe-pruitt,2007,76,170,1986-04-19
marcus-williams,2007,79,205,1986-11-18
nick-fazekas,2007,83,235,1985-06-17
glen-davis,2007,81,289,1986-01-01
jermareo-davidson,2007,82,230,1984-11-15
josh-mcroberts,2007,82,240,1987-02-28
kyrylo-fesenko,2007,85,288,1986-12-24
stanko-barac,2007,85,240,1986-08-14
sun-yue,2007,81,205,1985-11-06
chris-richard,2007,81,270,1984-12-25
derrick-byars,2007,79,220,1984-04-25
adam-haluska,2007,,,
reyshawn-terry,2007,,,
jared-jordan,2007,,,
stephane-lasme,2007,80,215,1982-12-17
dominic-mcguire,2007,81,220,1985-10-20
marc-gasol,2007,83,255,1985-01-29
aaron-gray,2007,84,270,1984-12-07
renaldas-seibutis,2007,78,185,1985-07-23
jameson-curry,2007,75,190,1986-01-07
taurean-green,2007,72,177,1986-11-28
demetris-nichols,2007,80,216,1984-09-04
brad-newley,2007,78,205,1985-02-18
herbert-hill,2007,,,
ramon-sessions,2007,75,190,1986-04-11
sammy-mejia,2007,,,
georgios-printezis,2007,81,240,1985-02-22
d.j.-strawberry,2007,77,201,1985-06-15
milovan-rakovic,2007,82,280,1985-02-19
derrick-rose,2008,74,200,1988-10-04
michael-beasley,2008,81,235,1989-01-09
o.j.-mayo,2008,77,210,1987-11-05
russell-westbrook,2008,75,200,1988-11-12
kevin-love,2008,80,251,1988-09-07
danilo-gallinari,2008,82,233,1988-08-08
eric-gordon,2008,75,215,1988-12-25
joe-alexander,2008,80,230,1986-12-26
d.j.-augustin,2008,71,183,1987-11-10
brook-lopez,2008,84,282,1988-04-01
jerryd-bayless,2008,75,200,1988-08-20
jason-thompson,2008,83,250,1986-07-21
brandon-rush,2008,78,220,1985-07-07
anthony-randolph,2008,82,205,1989-07-15
robin-lopez,2008,84,281,1988-04-01
marreese-speights,2008,82,255,1987-08-04
roy-hibbert,2008,86,270,1986-12-11
javale-mcgee,2008,84,270,1988-01-19
j.j.-hickson,2008,81,242,1988-09-04
alexis-ajinca,2008,86,248,1988-05-06
ryan-anderson,2008,81,240,1988-05-06
courtney-lee,2008,77,215,1985-10-03
kosta-koufos,2008,84,245,1989-02-24
serge-ibaka,2008,82,235,1989-09-18
nicolas-batum,2008,80,230,1988-12-14
george-hill,2008,76,188,1986-05-04
darrell-arthur,2008,81,235,1988-03-25
donte-greene,2008,83,226,1988-02-21
d.j.-white,2008,81,251,1986-08-31
j.r.-giddens,2008,77,215,1985-02-13
nikola-pekovic,2008,83,307,1986-01-03
