team,player,college
CHI,aaron-gray,Pitt
DAL,renaldas-seibutis,
CHI,jameson-curry,Oklahoma State
POR,taurean-green,Florida
POR,demetris-nichols,Syracuse
HOU,brad-newley,
UTA,herbert-hill,Providence
MIL,ramon-sessions,Nevada
DET,sammy-mejia,DePaul
SAS,georgios-printezis,
PHO,d.j.-strawberry,Maryland
DAL,milovan-rakovic,
CHI,derrick-rose,Memphis
MIA,michael-beasley,Kansas State
MIN,o.j.-mayo,USC
SEA,russell-westbrook,UCLA
MEM,kevin-love,UCLA
NYK,danilo-gallinari,
LAC,eric-gordon,Indiana
MIL,joe-alexander,West Virginia
CHA,d.j.-augustin,Texas
NJN,brook-lopez,Stanford
IND,jerryd-bayless,Arizona
SAC,jason-thompson,Rider University
POR,brandon-rush,Kansas
GSW,anthony-randolph,LSU
PHO,robin-lopez,Stanford
PHI,marreese-speights,Florida
TOR,roy-hibbert,Georgetown
WAS,javale-mcgee,Nevada
CLE,j.j.-hickson,NC State
CHA,alexis-ajinca,
NJN,ryan-anderson,California
ORL,courtney-lee,Western Kentucky
UTA,kosta-koufos,Ohio State
SEA,serge-ibaka,
HOU,nicolas-batum,
SAS,george-hill,IUPUI
NOH,darrell-arthur,Kansas
MEM,donte-greene,Syracuse
DET,d.j.-white,Indiana
BOS,j.r.-giddens,New Mexico
MIN,nikola-pekovic,
SEA,walter-sharpe,UAB
POR,joey-dorsey,Memphis
MIN,mario-chalmers,Kansas
LAC,deandre-jordan,Texas A&M
POR,omer-ask,
MIL,luc-mbah-a-moute,UCLA
CHA,kyle-weaver,Washington State
CHI,sonny-weems,Arkansas
NJN,chris-douglas-roberts,Memphis
IND,nathan-jawai,
SAC,sean-singletary,Virginia
SAC,patrick-ewing,Georgetown
UTA,ante-tomic,
SAS,goran-dragic,
SEA,trent-plaisted,Brigham Young University Hawaii
WAS,henry-walker,Kansas State
PHO,malik-hairston,Oregon
GSW,richard-hendrix,Alabama
SEA,devon-hardin,California
DAL,shan-foster,Vanderbilt
MIA,darnell-jackson,Kansas
UTA,tadija-dragicevic,
HOU,maarty-leunen,Oregon
POR,mike-taylor,Iowa State
SEA,sasha-kaun,Kansas
SAS,james-gist,Maryland
LAL,joe-crawford,Kentucky
DET,deron-washington,Virginia Tech
BOS,semih-erden,
LAC,blake-griffin,Oklahoma
MEM,hasheem-thabeet,UConn
OKC,james-harden,Arizona State
SAC,tyreke-evans,Memphis
MIN,ricky-rubio,
MIN,jonny-flynn,Syracuse
GSW,stephen-curry,Davidson
NYK,jordan-hill,Arizona
TOR,demar-derozan,USC
MIL,brandon-jennings,
NJN,terrence-williams,Louisville
CHA,gerald-henderson,Duke
IND,tyler-hansbrough,UNC
PHO,earl-clark,Louisville
DET,austin-daye,Gonzaga
CHI,james-johnson,Wake Forest
PHI,jrue-holiday,UCLA
MIN,ty-lawson,UNC
ATL,jeff-teague,Wake Forest
UTA,eric-maynor,VCU
NOH,darren-collison,UCLA
POR,victor-claver,
SAC,omri-casspi,
DAL,byron-mullens,Ohio State
OKC,rodrigue-beaubois,
CHI,taj-gibson,USC
MEM,demarre-carroll,Missouri
MIN,wayne-ellington,UNC
LAL,toney-douglas,Florida State
CLE,christian-eyenga,
SAC,jeff-ayres,Arizona State
WAS,jermaine-taylor,Central Florida
POR,dante-cunningham,Villanova
DEN,sergio-llull,
DET,dajuan-summers,Georgetown
MEM,sam-young,Pitt
SAS,dejuan-blair,Pitt
POR,jon-brockman,Washington
DET,jonas-jerebko,
CHA,derrick-brown,Xavier
MIL,jodie-meeks,Kentucky
LAL,patrick-beverley,Arkansas
MIA,marcus-thornton,LSU
DET,chase-budinger,Arizona
MIN,nick-calathes,Florida
CLE,danny-green,UNC
MIN,henk-norel,
PHO,taylor-griffin,Oklahoma
ATL,sergiy-gladyr,
UTA,goran-suton,Michigan State
SAS,jack-mcclinton,Miami (FL)
IND,a.j.-price,UConn
SAS,nando-de-colo,
CHA,robert-vaden,UAB
POR,patty-mills,Saint Mary's
DAL,ahmad-nivins,Saint Joseph's
PHO,emir-preldzic,
BOS,lester-hudson,University of Tennessee at Martin
LAL,chinemelu-elonu,Texas A&M
MIA,robert-dozier,Memphis
WAS,john-wall,Kentucky
PHI,evan-turner,Ohio State
NJN,derrick-favors,Georgia Tech
MIN,wesley-johnson,Syracuse
SAC,demarcus-cousins,Kentucky
GSW,ekpe-udoh,Baylor
DET,greg-monroe,Georgetown
LAC,al-farouq-aminu,Wake Forest
UTA,gordon-hayward,Butler
IND,paul-george,Fresno State
NOH,cole-aldrich,Kansas
MEM,xavier-henry,Kansas
TOR,ed-davis,UNC
HOU,patrick-patterson,Kentucky
MIL,larry-sanders,VCU
MIN,luke-babbitt,Nevada
CHI,kevin-seraphin,
