College,Year,Games,Wins
Minnesota,2019,36,22
Ohio St.,2019,35,20
Kansas,2015,36,27
Iowa St.,2017,35,24
Baylor,2019,34,20
Kansas,2019,36,26
Oklahoma,2019,34,20
Butler,2015,34,23
Georgetown,2015,33,22
Villanova,2015,36,33
Butler,2016,33,22
Providence,2016,35,24
Xavier,2016,34,28
Villanova,2017,36,32
Butler,2018,35,21
Seton Hall,2018,34,22
Xavier,2018,35,29
Villanova,2019,36,26
Liberty,2019,33,29
Hawaii,2016,32,26
UC Irvine,2019,36,31
UAB,2015,35,19
Middle Tennessee,2016,33,23
Middle Tennessee,2017,35,31
Marshall,2018,35,25
Yale,2016,29,22
Buffalo,2018,35,27
Buffalo,2019,35,32
Northern Iowa,2015,35,31
Northern Iowa,2016,35,22
Wichita St.,2016,34,25
Wichita St.,2017,35,31
San Diego St.,2015,35,26
Murray St.,2019,31,28
Oregon,2015,35,25
Utah,2016,35,26
USC,2017,36,26
Washington,2019,36,27
Georgia St.,2015,34,24
Arkansas Little Rock,2016,33,28
Wofford,2019,32,30
Arkansas,2015,36,27
Kentucky,2016,36,27
Arkansas,2017,36,26
Alabama,2018,36,20
Auburn,2018,34,26
Florida,2018,34,21
Tennessee,2018,35,26
Florida,2019,36,20
Stephen F. Austin,2016,30,24
Saint Mary's,2017,34,29
Wichita St.,2014,35,34
Kansas,2014,35,25
Villanova,2014,34,29
Creighton,2014,35,27
Syracuse,2014,34,28
Saint Louis,2014,33,26
North Carolina,2014,34,24
Oregon,2014,34,24
Texas,2014,35,24
Gonzaga,2014,35,28
Memphis,2014,33,23
Pittsburgh,2014,36,26
Harvard,2014,31,26
North Dakota St.,2014,30,23
Stephen F. Austin,2014,33,30
Mercer,2014,33,24
Gonzaga,2013,34,31
Saint Louis,2013,35,28
VCU,2013,36,27
Butler,2013,35,26
Memphis,2013,36,31
San Diego St.,2013,32,21
Illinois,2013,34,21
Creighton,2013,36,28
Colorado St.,2013,33,24
North Carolina,2013,35,24
Temple,2013,34,24
Iowa St.,2013,35,23
Minnesota,2013,34,21
California,2013,33,21
Mississippi,2013,36,27
Harvard,2013,29,19
Davidson,2015,31,23
VCU,2015,36,26
Dayton,2016,33,25
Dayton,2017,31,24
VCU,2017,35,26
Davidson,2018,33,21
St. Bonaventure,2018,34,26
Saint Louis,2019,36,23
VCU,2019,33,25
Pittsburgh,2016,32,20
Miami FL,2017,33,21
Virginia Tech,2017,33,22
Miami FL,2018,32,22
North Carolina St.,2018,33,21
Virginia,2018,34,31
Virginia Tech,2018,33,21
Louisville,2019,34,20
Syracuse,2019,34,20
Albany,2015,33,24
Stony Brook,2016,31,24
Vermont,2017,34,29
Vermont,2019,33,27
SMU,2015,33,26
Cincinnati,2016,33,22
Temple,2016,33,21
SMU,2017,35,30
Wichita St.,2018,33,25
Cincinnati,2019,35,28
Florida Gulf Coast,2016,31,17
Florida Gulf Coast,2017,31,26
Lipscomb,2018,30,23
Indiana,2015,34,20
Purdue,2015,34,21
Michigan,2016,35,22
Michigan St.,2016,35,29
Purdue,2016,35,26
Maryland,2017,32,24
Minnesota,2017,34,24
Wisconsin,2019,34,23
Baylor,2015,33,23
Iowa St.,2015,34,25
Oklahoma St.,2015,31,17
Texas,2015,34,20
Baylor,2016,33,21
Texas,2016,33,20
Texas Tech,2016,32,19
West Virginia,2016,35,26
Kansas St.,2017,35,21
Oklahoma St.,2017,32,20
Oklahoma,2018,32,18
TCU,2018,33,21
Texas,2018,34,19
Iowa St.,2019,35,23
Kansas St.,2019,34,25
Providence,2015,34,22
St. John's,2015,32,20
Seton Hall,2016,34,25
Creighton,2017,34,25
Marquette,2017,32,19
Seton Hall,2017,33,21
Creighton,2018,32,21
Providence,2018,35,21
Marquette,2019,34,24
Seton Hall,2019,34,20
Eastern Washington,2015,32,23
Weber St.,2016,32,23
North Dakota,2017,29,22
Montana,2018,32,26
Montana,2019,33,26
Coastal Carolina,2015,30,20
UNC Asheville,2016,32,20
Winthrop,2017,31,26
Radford,2018,34,23
Gardner Webb,2019,32,23
UC Irvine,2015,32,19
UC Davis,2017,34,23
Cal St. Fullerton,2018,30,20
Northeastern,2015,35,23
UNC Wilmington,2016,31,23
UNC Wilmington,2017,33,29
College of Charleston,2018,32,26
Northeastern,2019,34,23
Old Dominion,2019,35,26
Valparaiso,2015,31,25
Green Bay,2016,34,21
Northern Kentucky,2017,33,24
Wright St.,2018,33,25
Northern Kentucky,2019,33,26
Harvard,2015,28,20
Princeton,2017,29,23
Penn,2018,32,24
Yale,2019,29,22
Iona,2016,33,22
Iona,2017,35,22
Iona,2018,34,20
Iona,2019,33,17
Buffalo,2015,33,23
Buffalo,2016,34,19
Kent St.,2017,35,22
Hampton,2015,35,17
Hampton,2016,31,20
Bradley,2019,34,20
Wyoming,2015,33,23
Fresno St.,2016,33,23
Nevada,2017,35,28
San Diego St.,2018,32,22
Nevada,2019,34,29
Utah St.,2019,34,28
Robert Morris,2015,35,20
Mount St. Mary's,2017,36,20
Fairleigh Dickinson,2019,33,21
Belmont,2015,32,21
Austin Peay,2016,34,16
Jacksonville St.,2017,33,20
Murray St.,2018,30,26
Belmont,2019,32,27
Arizona,2016,34,25
California,2016,34,23
Colorado,2016,33,21
Oregon St.,2016,31,18
USC,2016,34,21
Arizona,2018,35,27
Arizona St.,2019,34,23
Lafayette,2015,32,19
Holy Cross,2016,35,15
Bucknell,2017,35,26
Bucknell,2018,35,25
Colgate,2019,34,24
Troy,2017,35,22
Georgia St.,2018,33,24
Georgia St.,2019,33,24
Wofford,2015,33,26
Chattanooga,2016,33,27
East Tennessee St.,2017,33,27
UNC Greensboro,2018,32,27
Georgia,2015,33,21
LSU,2015,33,22
Mississippi,2015,34,21
Vanderbilt,2017,35,19
Arkansas,2018,35,23
Missouri,2018,32,20
Mississippi,2019,33,20
Mississippi St.,2019,34,23
Stephen F. Austin,2015,31,26
Stephen F. Austin,2018,31,28
Abilene Christian,2019,30,27
North Dakota St.,2015,31,21
South Dakota St.,2016,32,24
South Dakota St.,2017,33,18
South Dakota St.,2018,31,28
North Dakota St.,2019,33,19
Texas Southern,2015,35,22
Texas Southern,2017,35,23
Texas Southern,2018,36,16
New Mexico St.,2015,32,21
Cal St. Bakersfield,2016,30,21
New Mexico St.,2017,31,28
New Mexico St.,2018,31,28
New Mexico St.,2019,33,30
Saint Mary's,2019,34,22
Duke,2014,35,26
Cincinnati,2014,34,27
Oklahoma,2014,33,23
VCU,2014,35,26
Massachusetts,2014,33,24
Ohio St.,2014,35,25
New Mexico,2014,34,27
Colorado,2014,35,23
Kansas St.,2014,33,20
Oklahoma St.,2014,34,21
Arizona St.,2014,33,21
BYU,2014,34,22
Saint Joseph's,2014,34,24
George Washington,2014,33,24
Nebraska,2014,32,19
Providence,2014,35,22
North Carolina St.,2014,36,22
Delaware,2014,35,25
Manhattan,2014,33,25
New Mexico St.,2014,35,25
Tulsa,2014,34,21
Louisiana Lafayette,2014,32,20
North Carolina Central,2014,32,26
Western Michigan,2014,32,22
American,2014,33,20
Eastern Kentucky,2014,32,22
Milwaukee,2014,34,20
Wofford,2014,30,17
Albany,2014,34,19
Cal Poly,2014,32,12
Coastal Carolina,2014,31,18
Weber St.,2014,29,17
Georgetown,2013,32,25
New Mexico,2013,35,29
Kansas St.,2013,34,26
Wisconsin,2013,35,23
Oklahoma St.,2013,33,24
UNLV,2013,34,24
UCLA,2013,35,25
Notre Dame,2013,35,25
Pittsburgh,2013,33,24
North Carolina St.,2013,35,24
Villanova,2013,33,19
Missouri,2013,34,23
Oklahoma,2013,32,20
Colorado,2013,33,21
Cincinnati,2013,34,22
Belmont,2013,31,24
Bucknell,2013,33,27
Saint Mary's,2013,34,27
Akron,2013,32,25
South Dakota St.,2013,32,22
Montana,2013,30,23
New Mexico St.,2013,34,23
Northwestern St.,2013,28,19
Davidson,2013,33,25
Valparaiso,2013,33,25
Pacific,2013,33,20
Iona,2013,34,20
Albany,2013,35,24
Western Kentucky,2013,35,19
North Carolina A&T,2013,36,19
Southern,2013,30,20
James Madison,2013,36,21
Wake Forest,2017,33,19
Tulsa,2016,32,20
Temple,2019,33,23
North Florida,2015,32,20
Providence,2017,33,20
St. John's,2019,34,21
Manhattan,2015,33,19
North Carolina Central,2017,31,25
North Carolina Central,2018,32,19
North Carolina Central,2019,31,18
Boise St.,2015,32,23
Fairleigh Dickinson,2016,32,17
LIU Brooklyn,2018,34,18
Arizona St.,2018,32,20
UCLA,2018,33,21
Vanderbilt,2016,33,19
New Orleans,2017,29,20
Southern,2016,32,19
Prairie View A&M,2019,34,22
BYU,2015,33,23
Iowa,2014,33,20
Xavier,2014,34,21
Mount St. Mary's,2014,33,16
Texas Southern,2014,33,18
Middle Tennessee,2013,34,28
Boise St.,2013,30,19
LIU Brooklyn,2013,34,20
Liberty,2013,33,12
North Carolina,2015,38,26
North Carolina St.,2015,36,22
Duke,2016,36,25
Miami FL,2016,35,27
Clemson,2018,35,25
Syracuse,2018,37,23
Florida St.,2019,37,29
North Carolina,2019,36,29
Virginia Tech,2019,35,26
Houston,2019,37,33
Indiana,2016,35,27
Maryland,2016,35,26
Wisconsin,2016,35,22
Michigan,2017,38,26
Purdue,2017,35,27
Wisconsin,2017,37,27
Purdue,2018,37,30
Michigan,2019,37,30
Oklahoma,2015,35,24
West Virginia,2015,35,25
Iowa St.,2016,35,23
Baylor,2017,34,27
West Virginia,2017,37,28
West Virginia,2018,37,26
Xavier,2015,37,23
Butler,2017,34,25
Wichita St.,2015,34,29
Nevada,2018,37,29
UCLA,2015,36,22
Utah,2015,34,25
Arizona,2017,37,32
UCLA,2017,36,31
Oregon,2019,38,25
Texas A&M,2016,37,28
Kentucky,2018,37,26
Texas A&M,2018,35,22
LSU,2019,35,28
Tennessee,2019,36,31
Gonzaga,2016,35,27
Gonzaga,2018,37,32
Virginia,2014,37,30
Iowa St.,2014,36,28
Louisville,2014,37,31
San Diego St.,2014,34,29
UCLA,2014,37,28
Baylor,2014,36,24
Stanford,2014,36,23
Tennessee,2014,36,23
Indiana,2013,36,29
Kansas,2013,37,31
Miami FL,2013,36,29
Michigan St.,2013,35,26
Arizona,2013,35,27
Oregon,2013,37,28
La Salle,2013,34,24
Florida Gulf Coast,2013,35,24
