College,Year,Games,Wins
Idaho,2016,32,19
Idaho St.,2016,29,14
Montana,2016,30,18
Montana St.,2016,30,13
North Dakota,2016,30,14
Northern Arizona,2016,28,3
Northern Colorado,2016,29,8
Portland St.,2016,29,11
Sacramento St.,2016,29,12
Southern Utah,2016,28,4
Eastern Washington,2017,32,22
Idaho,2017,31,19
Idaho St.,2017,30,6
Montana,2017,32,16
Montana St.,2017,30,16
Northern Arizona,2017,31,9
Northern Colorado,2017,27,11
Portland St.,2017,28,15
Sacramento St.,2017,29,13
Southern Utah,2017,31,6
Weber St.,2017,32,20
Eastern Washington,2018,33,20
Idaho,2018,29,22
Idaho St.,2018,28,14
Montana St.,2018,30,13
North Dakota,2018,30,12
Northern Arizona,2018,30,5
Northern Colorado,2018,35,26
Portland St.,2018,31,20
Sacramento St.,2018,30,7
Southern Utah,2018,30,13
Weber St.,2018,28,20
Eastern Washington,2019,33,16
Idaho,2019,29,5
Idaho St.,2019,28,11
Montana St.,2019,31,15
North Dakota,2019,26,12
Northern Arizona,2019,31,10
Northern Colorado,2019,30,21
Portland St.,2019,29,16
Sacramento St.,2019,28,15
Southern Utah,2019,32,17
Weber St.,2019,31,18
Campbell,2015,29,7
Charleston Southern,2015,28,16
Gardner Webb,2015,31,16
High Point,2015,30,20
Liberty,2015,28,4
Longwood,2015,32,9
Presbyterian,2015,28,6
Radford,2015,31,19
UNC Asheville,2015,28,12
Winthrop,2015,29,16
Campbell,2016,27,9
Charleston Southern,2016,27,6
Coastal Carolina,2016,30,18
Gardner Webb,2016,30,14
High Point,2016,29,18
Liberty,2016,29,10
Longwood,2016,30,7
Presbyterian,2016,28,8
Radford,2016,29,14
Winthrop,2016,29,20
Campbell,2017,34,19
Charleston Southern,2017,28,12
Gardner Webb,2017,30,19
High Point,2017,28,15
Liberty,2017,32,21
Longwood,2017,28,6
Presbyterian,2017,28,5
Radford,2017,30,14
UNC Asheville,2017,31,23
Campbell,2018,31,18
Charleston Southern,2018,28,15
Gardner Webb,2018,29,14
High Point,2018,27,14
Liberty,2018,34,22
Longwood,2018,30,7
Presbyterian,2018,29,11
UNC Asheville,2018,32,21
Winthrop,2018,28,19
Campbell,2019,30,20
Charleston Southern,2019,30,18
Hampton,2019,32,18
High Point,2019,29,16
Longwood,2019,31,16
Presbyterian,2019,33,20
Radford,2019,30,22
UNC Asheville,2019,28,4
USC Upstate,2019,29,5
Winthrop,2019,27,18
Cal Poly,2015,27,11
Cal St. Fullerton,2015,29,7
Cal St. Northridge,2015,31,7
Hawaii,2015,33,20
Long Beach St.,2015,31,14
UC Davis,2015,30,23
UC Riverside,2015,29,12
UC Santa Barbara,2015,31,17
Cal Poly,2016,28,8
Cal St. Fullerton,2016,28,8
Cal St. Northridge,2016,28,8
Long Beach St.,2016,33,18
UC Davis,2016,28,9
UC Irvine,2016,36,26
UC Riverside,2016,31,12
UC Santa Barbara,2016,32,18
Cal Poly,2017,29,11
Cal St. Fullerton,2017,30,17
Cal St. Northridge,2017,28,11
Hawaii,2017,29,14
Long Beach St.,2017,32,15
UC Irvine,2017,34,21
UC Riverside,2017,27,8
UC Santa Barbara,2017,27,6
Cal Poly,2018,29,9
Cal St. Northridge,2018,28,6
Hawaii,2018,28,17
Long Beach St.,2018,31,15
UC Davis,2018,31,22
UC Irvine,2018,33,18
UC Riverside,2018,29,9
UC Santa Barbara,2018,30,23
Cal Poly,2019,27,6
Cal St. Fullerton,2019,32,16
Cal St. Northridge,2019,33,13
Hawaii,2019,29,18
Long Beach St.,2019,32,15
UC Davis,2019,29,11
UC Riverside,2019,30,10
UC Santa Barbara,2019,30,22
College of Charleston,2015,33,9
Delaware,2015,30,10
Drexel,2015,29,11
Elon,2015,31,13
Hofstra,2015,34,20
James Madison,2015,33,19
Towson,2015,31,11
UNC Wilmington,2015,31,17
William & Mary,2015,31,18
College of Charleston,2016,30,16
Delaware,2016,30,7
Drexel,2016,30,6
Elon,2016,30,14
Hofstra,2016,33,23
James Madison,2016,31,20
Northeastern,2016,32,17
Towson,2016,31,18
William & Mary,2016,29,18
College of Charleston,2017,34,25
Delaware,2017,31,13
Drexel,2017,31,9
Elon,2017,30,18
Hofstra,2017,31,15
James Madison,2017,32,10
Northeastern,2017,31,15
Towson,2017,32,20
William & Mary,2017,29,17
Delaware,2018,31,14
Drexel,2018,32,13
Elon,2018,30,14
Hofstra,2018,30,19
James Madison,2018,31,10
Northeastern,2018,32,23
Towson,2018,30,18
UNC Wilmington,2018,30,11
William & Mary,2018,29,19
College of Charleston,2019,32,24
Delaware,2019,31,17
Drexel,2019,31,13
Elon,2019,30,11
Hofstra,2019,34,27
James Madison,2019,31,14
Towson,2019,31,10
UNC Wilmington,2019,32,10
William & Mary,2019,30,14
Charlotte,2015,32,14
FIU,2015,31,14
Florida Atlantic,2015,27,7
Louisiana Tech,2015,35,26
Marshall,2015,30,9
Middle Tennessee,2015,35,18
North Texas,2015,29,12
Old Dominion,2015,35,27
Rice,2015,29,10
Southern Miss,2015,27,7
UTEP,2015,33,22
UTSA,2015,28,12
Western Kentucky,2015,30,18
Charlotte,2016,33,14
FIU,2016,30,11
Florida Atlantic,2016,31,7
Louisiana Tech,2016,31,21
Marshall,2016,33,17
North Texas,2016,30,10
Old Dominion,2016,38,25
Rice,2016,30,10
Southern Miss,2016,27,7
UAB,2016,32,25
UTEP,2016,32,18
UTSA,2016,30,4
Western Kentucky,2016,32,16
Charlotte,2017,29,13
FIU,2017,29,7
Florida Atlantic,2017,28,10
Louisiana Tech,2017,31,23
Marshall,2017,34,20
North Texas,2017,28,8
Old Dominion,2017,31,19
Rice,2017,33,23
Southern Miss,2017,29,9
UAB,2017,32,17
UTEP,2017,31,15
UTSA,2017,31,14
Western Kentucky,2017,32,15
Charlotte,2018,28,6
